Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating
LG,343 L,Double Door,3 Star,30519.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,30390.0,23.0,4.3
LG,242 L,Double Door,3 Star,30390.0,29.0,4.5
Haier,596 L,Side by Side,3 Star,30100.0,42.0,4.3
Whirlpool,236 L,Single Door,5 Star,30100.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,29999.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,29999.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,29999.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,29999.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,29999.0,29.0,4.3
LG,272 L,Double Door,3 Star,29999.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,29999.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,29990.0,21.0,4.2
LG,264 L,Double Door,2 Star,29990.0,29.0,4.3
CANDY,328 L,Double Door,3 Star,29990.0,28.0,4.4
Godrej,472 L,Double Door,2 Star,29990.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,29969.0,37.0,4.3
Haier,268 L,Double Door,2 Star,29890.0,32.0,4.1
LG,398 L,Double Door,3 Star,29490.0,24.0,4.3
Voltas,563 L,Side by Side,3 Star,29490.0,42.0,4.4
LG,240 L,Double Door,3 Star,29490.0,28.0,4.4
Haier,325 L,Double Door,3 Star,29490.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,29490.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,29490.0,25.0,4.3
LG,343 L,Double Door,3 Star,29490.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,29490.0,23.0,4.3
LG,242 L,Double Door,3 Star,29399.0,42.0,4.5
Haier,596 L,Side by Side,3 Star,28999.0,24.0,4.3
Whirlpool,236 L,Single Door,5 Star,28999.0,29.0,4.4
Haier,602 L,Side by Side,3 Star,28990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,28990.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,28990.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,28989.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,28836.0,29.0,4.3
LG,272 L,Double Door,3 Star,28699.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,28699.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,28590.0,21.0,4.2
LG,264 L,Double Door,2 Star,28550.0,28.0,4.3
CANDY,328 L,Double Door,3 Star,28550.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,28490.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,28490.0,31.0,4.3
Haier,268 L,Double Door,2 Star,28490.0,37.0,4.1
LG,398 L,Double Door,3 Star,28480.0,32.0,4.3
Voltas,563 L,Side by Side,3 Star,28390.0,28.0,4.4
LG,240 L,Double Door,3 Star,27999.0,24.0,4.4
Haier,325 L,Double Door,3 Star,27990.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,27990.0,26.0,4.3
LG,343 L,Double Door,3 Star,27990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,27990.0,23.0,4.3
LG,242 L,Double Door,3 Star,27990.0,29.0,4.5
Haier,596 L,Side by Side,3 Star,27990.0,42.0,4.3
Whirlpool,236 L,Single Door,5 Star,27890.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,27790.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,27751.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,27699.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,27980.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,27599.0,29.0,4.3
LG,272 L,Double Door,3 Star,27590.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,27590.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,27590.0,21.0,4.2
LG,264 L,Double Door,2 Star,27499.0,29.0,4.3
CANDY,328 L,Double Door,3 Star,27490.0,28.0,4.4
Godrej,472 L,Double Door,2 Star,27490.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,27490.0,37.0,4.3
Haier,268 L,Double Door,2 Star,27490.0,32.0,4.1
LG,398 L,Double Door,3 Star,27490.0,24.0,4.3
Voltas,563 L,Side by Side,3 Star,27450.0,42.0,4.4
LG,240 L,Double Door,3 Star,27348.0,28.0,4.4
Haier,325 L,Double Door,3 Star,27270.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,27190.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,27099.0,25.0,4.3
LG,343 L,Double Door,3 Star,26999.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,26999.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,26999.0,42.0,4.5
LG,242 L,Double Door,3 Star,26999.0,29.0,4.4
Haier,602 L,Side by Side,3 Star,28050.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,26990.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,26990.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,26990.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,26990.0,29.0,4.3
LG,272 L,Double Door,3 Star,26990.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,26990.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,26990.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,26950.0,28.0,4.3
LG,264 L,Double Door,2 Star,26900.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,26900.0,25.0,4.1
Haier,325 L,Double Door,3 Star,26790.0,31.0,4.3
Godrej,436 L,Double Door,2 Star,26699.0,37.0,4.1
Haier,268 L,Double Door,2 Star,26590.0,32.0,4.3
LG,240 L,Double Door,3 Star,26590.0,28.0,4.4
LG,398 L,Double Door,3 Star,26517.0,24.0,4.4
Voltas,563 L,Side by Side,3 Star,26517.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,26517.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,26490.0,25.0,4.3
LG,343 L,Double Door,3 Star,26490.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,26490.0,23.0,4.3
LG,242 L,Double Door,3 Star,26299.0,29.0,4.4
Haier,596 L,Side by Side,3 Star,26290.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,26270.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,26240.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,26190.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,26190.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,26090.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,26090.0,29.0,4.3
LG,272 L,Double Door,3 Star,26090.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,26050.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,26000.0,21.0,4.2
LG,264 L,Double Door,2 Star,25999.0,29.0,4.4
CANDY,328 L,Double Door,3 Star,25999.0,28.0,4.3
Godrej,472 L,Double Door,2 Star,25990.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,25990.0,37.0,4.1
Haier,268 L,Double Door,2 Star,25990.0,32.0,4.3
LG,398 L,Double Door,3 Star,25990.0,24.0,4.4
Voltas,563 L,Side by Side,3 Star,25990.0,42.0,4.3
LG,240 L,Double Door,3 Star,25990.0,28.0,4.4
Haier,325 L,Double Door,3 Star,25990.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,25990.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,25979.0,25.0,4.3
Whirlpool,235 L,Triple Door,4 Star,25800.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,25799.0,29.0,4.5
Whirlpool,236 L,Single Door,5 Star,25790.0,42.0,4.3
LG,242 L,Double Door,3 Star,25749.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,25730.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,25545.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,25490.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,25240.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,25190.0,29.0,4.3
LG,272 L,Double Door,3 Star,24999.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,24999.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,24994.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,24994.0,29.0,4.3
LG,264 L,Double Door,2 Star,24990.0,28.0,4.4
Godrej,472 L,Double Door,2 Star,24990.0,25.0,4.1
Haier,325 L,Double Door,3 Star,24990.0,37.0,4.3
Godrej,436 L,Double Door,2 Star,24990.0,32.0,4.1
Haier,268 L,Double Door,2 Star,24990.0,24.0,4.3
LG,240 L,Double Door,3 Star,24990.0,42.0,4.4
LG,398 L,Double Door,3 Star,24990.0,28.0,4.4
Voltas,563 L,Side by Side,3 Star,24990.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,24990.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,24900.0,25.0,4.3
LG,343 L,Double Door,3 Star,24900.0,29.0,4.5
