Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating,
LG,242 L,Double Door,3 Star,"₹ 35,490",29% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 35,390",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 35,337",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 35,190",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 35,000",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 34,999",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 34,990",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 34,990",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 34,990",21% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 34,990",28% off,4.3,
LG,264 L,Double Door,2 Star,"₹ 34,900",29% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 34,999",25% off,4.1,
Haier,325 L,Double Door,3 Star,"₹ 34,590",31% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 34,489",37% off,4.1,
Haier,268 L,Double Door,2 Star,"₹ 34,062",32% off,4.3,
LG,240 L,Double Door,3 Star,"₹ 39,910",28% off,4.4,
LG,398 L,Double Door,3 Star,"₹ 38,999",24% off,4.4,
Voltas,563 L,Side by Side,N/A,"₹ 34,489",42% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 34,062",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 33,999",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 33,990",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 33,990",23% off,4.3,
Haier,596 L,Side by Side,N/A,"₹ 33,990",29% off,4.4,
Whirlpool,236 L,Single Door,5 Star,"₹ 33,819",42% off,4.5,
LG,242 L,Double Door,3 Star,"₹ 33,590",24% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 33,500",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 33,490",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 33,397",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 33,290",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 33,290",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 33,257",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 32,990",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 32,990",21% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 32,990",29% off,4.4,
LG,264 L,Double Door,2 Star,"₹ 32,990",28% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 32,990",25% off,4.1,
Haier,325 L,Double Door,3 Star,"₹ 32,990",37% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 32,990",32% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 32,818",24% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 32,710",42% off,4.3,
LG,398 L,Double Door,3 Star,"₹ 32,590",28% off,4.4,
Voltas,563 L,Side by Side,N/A,"₹ 32,190",31% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 32,100",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 32,050",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 31,999",23% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 31,990",29% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 31,990",29% off,4.5,
Haier,596 L,Side by Side,N/A,"₹ 31,790",42% off,4.3,
Whirlpool,236 L,Single Door,5 Star,"₹ 31,790",24% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 31,749",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 31,733",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 31,690",40% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 31,690",30% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 31,600",26% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 31,490",25% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 31,090",21% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 30,999",29% off,4.2,
LG,264 L,Double Door,2 Star,"₹ 30,999",28% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 30,999",29% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 30,999",42% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 30,990",24% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 30,990",32% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 30,990",37% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 30,990",28% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 30,790",31% off,4.4,
Haier,325 L,Double Door,3 Star,"₹ 30,740",26% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 30,590",25% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 30,521",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 30,519",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 30,390",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 30,390",29% off,4.5,
Haier,596 L,Side by Side,N/A,"₹ 30,100",42% off,4.3,
Whirlpool,236 L,Single Door,5 Star,"₹ 30,100",24% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 29,999",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 29,999",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 29,999",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 29,999",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 29,999",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 29,999",30% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 29,999",26% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 29,990",21% off,4.2,
LG,264 L,Double Door,2 Star,"₹ 29,990",29% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 29,990",28% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 29,990",25% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 29,969",37% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 29,890",32% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 29,490",24% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 29,490",42% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 29,490",28% off,4.4,
Haier,325 L,Double Door,3 Star,"₹ 29,490",31% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 29,490",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 29,490",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 29,490",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 29,490",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 29,399",42% off,4.5,
Haier,596 L,Side by Side,N/A,"₹ 28,999",24% off,4.3,
Whirlpool,236 L,Single Door,5 Star,"₹ 28,999",29% off,4.4,
Haier,602 L,Side by Side,N/A,"₹ 28,990",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 28,990",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 28,990",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 28,989",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 28,836",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 28,699",30% off,4.2,
